wave_peak	wave_base	wave_top	note
480.0649	480.033	480.085	Fe 1
480.1025	480.085	480.138	Cr 1
480.8874	480.88	480.902	Ni 1
481.1983	481.161	481.213	Ni 1
482.4127	482.392	482.436	Cr 2
489.6439	489.615	489.683	Fe 1
491.0017	490.977	491.018	Fe 1
491.3613	491.339	491.38	Ti 1
491.8012	491.763	491.818	Fe 1
491.8994	491.878	491.957	Fe 1
491.9861	491.957	492.0	Ti 1
492.4301	492.419	492.447	Fe 1
492.5559	492.54	492.593	Ni 1
493.6335	493.608	493.656	Cr 1
493.8814	493.851	493.904	Fe 1
494.5444	494.492	494.555	Ni 1
494.5636	494.555	494.585	Fe 1
495.7596	495.744	495.814	Fe 1
496.2572	496.239	496.282	Fe 1
496.4927	496.477	496.506	Cr 1
496.5167	496.506	496.558	Ni 1
496.6088	496.591	496.647	Fe 1
496.7897	496.767	496.819	Fe 1
496.9917	496.953	497.029	Fe 1
497.0496	497.029	497.085	Fe 1
497.6325	497.622	497.654	Ni 1
497.7648	497.739	497.79	Fe 1
498.1355	498.094	498.147	Ti 2
498.173	498.147	498.198	Ti 1
498.2499	498.224	498.268	Fe 1
498.4605	498.438	498.488	Fe 1
498.4629	498.438	498.463	Fe 1
498.5983	498.584	498.609	Fe 1
499.1268	499.119	499.158	Fe 1
499.7097	499.699	499.744	Ti 1
500.073	500.059	500.081	Fe 2
500.2792	500.238	500.306	Fe 1
500.3741	500.352	500.389	Ni 1
500.4044	500.389	500.423	Fe 1
500.5167	500.502	500.531	Ti 2
500.9645	500.951	500.982	Ti 1
501.6161	501.573	501.634	Ti 1
502.0026	501.984	502.032	Ti 1
502.3186	502.305	502.335	Fe 1
502.4844	502.458	502.501	Ti 1
502.9618	502.929	502.978	Fe 1
503.0778	503.047	503.087	Fe 1
503.1914	503.156	503.223	Fe 1
503.6922	503.671	503.711	Fe 1
503.9957	503.963	504.004	Ti 1
504.2186	504.201	504.2215	Ni 1
504.3584	504.343	504.393	Ti 1
504.4211	504.393	504.458	Fe 1
505.4642	505.44	505.502	Fe 1
506.4653	506.422	506.481	Ti 1
506.909	506.9	506.923	Ti 2
